Date de naissance complète,Année de naissance,Catégorie,Inscription à la lettre d'information,Date d'inscription,Code postal,Ville
,,Anciens membres,Oui,2025-09-20,69008,Lyon
,1974,Anciens membres,Oui,2025-10-04,69008,Lyon
,1983,Membres actifs,Oui,2025-10-08,69008,Lyon
,1989,Membres actifs,Oui,2025-10-08,69008,Lyon
,1988,Membres actifs,Oui,2025-10-08,69008,Lyon
,1985,Membres actifs,Oui,2025-10-08,69008,Lyon
,1954,Membres actifs,Oui,2025-10-08,69008,Lyon
,1957,Membres actifs,Oui,2025-10-08,69008,Lyon
,1967,Anciens membres,Oui,2025-10-08,69008,Lyon
,1975,Anciens membres,Oui,2025-10-08,69008,Lyon
,1986,Membres actifs,Oui,2025-10-08,69008,Lyon
,1951,Membres actifs,Non,2025-10-08,69008,Lyon
,1963,Anciens membres,Oui,2025-10-08,69008,Lyon
,1963,Anciens membres,Oui,2025-10-08,69008,Lyon
,1990,Anciens membres,Oui,2025-10-08,69008,Lyon
,1988,Anciens membres,Oui,2025-10-08,69008,Lyon
,1967,Anciens membres,Oui,2025-10-08,69008,Lyon
,1998,Référent au CAC,Oui,2025-10-08,69008,Lyon
,1997,Administrateurs,Oui,2025-10-08,69008,Lyon
,1995,Anciens membres,Oui,2025-10-08,69008,Lyon
,1969,Anciens membres,Oui,2025-10-08,69500,Bron
,1981,Anciens membres,Oui,2025-10-08,69008,Lyon
,1988,Membres actifs,Oui,2025-10-08,69008,Lyon
,1988,Membres actifs,Oui,2025-10-08,69008,Lyon
,1978,Membres actifs,Oui,2025-10-08,69008,Lyon
,1958,Anciens membres,Oui,2025-10-08,69008,Lyon
,1949,Anciens membres,Oui,2025-11-08,69007,Lyon
,1956,Membres actifs,Oui,2025-11-08,69008,Lyon
,1987,Membres actifs,Oui,2025-11-09,69008,Lyon
,1935,Anciens membres,Oui,2025-11-09,69008,Lyon
,1979,Anciens membres,Oui,2025-11-09,69008,Lyon
,1968,Membres actifs,Oui,2025-11-09,69008,Lyon
,1986,Membres actifs,Oui,2025-11-09,69008,Lyon
,1983,Membres actifs,Oui,2025-11-09,69008,Lyon
,1968,Membres actifs,Oui,2025-11-09,69008,Lyon
,1981,Anciens membres,Oui,2025-11-09,69008,Lyon
,1994,Anciens membres,Oui,2025-11-09,69008,Lyon
,1970,Anciens membres,Oui,2025-11-09,69008,Lyon
,1967,Membres actifs,Oui,2025-11-09,69008,Lyon
,1967,Membres actifs,Oui,2025-11-09,69008,Lyon
,1993,Anciens membres,Oui,2025-11-09,69008,Lyon
,1990,Anciens membres,Oui,2025-11-09,69008,Lyon
,1979,Anciens membres,Oui,2025-11-09,69008,Lyon
,1974,Membres actifs,Oui,2025-11-09,69008,Lyon
,1977,Membres actifs,Oui,2025-11-09,69008,Lyon
,1961,Membres actifs,Oui,2025-11-09,69008,Lyon
,1972,Membres actifs,Oui,2025-11-09,69008,Lyon
,1958,Anciens membres,Oui,2025-11-09,69008,Lyon
,2004,Anciens membres,Oui,2025-11-09,69008,Lyon
,1978,Membres actifs,Oui,2025-11-09,69008,Lyon
,1951,Membres actifs,Oui,2025-11-09,69008,Lyon
,1986,Membres actifs,Oui,2025-11-09,69008,Lyon
,1970,Membres actifs,Oui,2025-05-24,69008,Lyon
,1987,Anciens membres,Oui,2025-11-09,69008,Lyon
,1990,Anciens membres,Oui,2025-11-09,69008,Lyon
,,Membres actifs,Non,2025-11-09,69008,Lyon
,1989,Anciens membres,Oui,2025-11-09,69200,Vénissieux
,1987,Anciens membres,Oui,2025-11-09,69200,Vénissieux
,1980,Anciens membres,Oui,2025-11-09,69008,Lyon
,,Anciens membres,Oui,2025-11-09,69008,Lyon
,1986,Membres actifs,Oui,2025-11-09,69008,Lyon
,1987,Membres actifs,Oui,2025-11-09,69008,Lyon
,1960,Anciens membres,Oui,2025-11-09,69008,Lyon
,1986,Membres actifs,Oui,2025-11-09,69008,Lyon
,1989,Anciens membres,Oui,2025-11-09,69008,Lyon
,1953,Membres actifs,Oui,2025-11-09,69008,Lyon
,1971,Membres actifs,Oui,2025-11-09,69008,Lyon
,1970,Anciens membres,Oui,2025-11-09,69008,Lyon
,1986,Membres actifs,Oui,2025-11-09,69008,Lyon
,1990,Membres actifs,Oui,2025-11-09,69008,Lyon
,1960,Membres actifs,Oui,2025-11-09,69008,Lyon
,1982,Anciens membres,Oui,2025-11-09,69008,Lyon
,1989,Anciens membres,Oui,2025-11-09,69008,Lyon
,1994,Anciens membres,Oui,2025-11-09,69008,Lyon
,1994,Membres actifs,Oui,2025-11-09,69008,Lyon
,1976,Membres actifs,Oui,2025-11-11,69008,Lyon
,1983,Anciens membres,Non,2025-11-11,69008,Lyon
,1992,Membres actifs,Oui,2025-11-11,69008,Lyon
,1991,Membres actifs,Oui,2025-11-11,69008,Lyon
,,Anciens membres,Oui,2025-11-11,69008,Lyon
,1988,Membres actifs,Oui,2025-11-11,69008,Lyon
,1988,Membres actifs,Oui,2025-11-11,69008,Lyon
,1983,Anciens membres,Oui,2025-11-11,69008,Lyon
,1970,Membres actifs,Oui,2025-11-14,69008,Lyon
,,Membres actifs,Oui,2025-11-14,69008,Lyon
,1994,Anciens membres,Oui,2025-11-14,69008,Lyon
,1992,Anciens membres,Oui,2025-11-14,69008,Lyon
,1993,Anciens membres,Oui,2025-11-14,69008,Lyon
,1966,Anciens membres,Oui,2025-11-14,69008,Lyon
,1992,Anciens membres,Oui,2025-11-14,69008,Lyon
,1976,Membres actifs,Oui,2025-11-14,69008,Lyon
,1969,Anciens membres,Oui,2025-10-08,69008,Lyon
,2000,Membres actifs,Oui,2025-11-16,69008,Lyon
,1993,Membres actifs,Oui,2025-11-16,69008,Lyon
,1998,Membres actifs,Oui,2025-11-16,69008,Lyon
,2001,Membres actifs,Oui,2025-11-16,69008,Lyon
,1985,Membres actifs,Oui,2025-11-16,69200,Vénissieux
,1980,Membres actifs,Oui,2025-11-16,69008,Lyon
,1998,Anciens membres,Oui,2025-11-16,42000,Saint-Etienne
,1986,Anciens membres,Oui,2025-11-16,69008,Lyon
,1984,Anciens membres,Oui,2025-11-16,69008,Lyon
,1968,Membres actifs,Oui,2025-11-16,26380,Peyrins
,1967,Membres actifs,Oui,2025-11-16,26380,Peyrins
,1995,Membres actifs,Oui,2026-03-22,69100,Villeurbanne
,1994,Anciens membres,Non,2025-11-16,69008,Lyon
,1973,Anciens membres,Oui,2025-11-16,69008,Lyon
,1966,Anciens membres,Non,2025-11-18,69008,Lyon
,1946,Membres actifs,Oui,2025-11-18,69008,Lyon
,1958,Anciens membres,Oui,2025-11-18,69008,Lyon
,1940,Membres actifs,Oui,2025-11-21,69008,Lyon
,1990,Membres actifs,Oui,2025-11-21,69008,Lyon
,1956,Membres actifs,Oui,2025-11-21,69008,Lyon
,1949,Anciens membres,Oui,2025-11-23,69008,Lyon
,1997,Anciens membres,Oui,2025-11-23,69008,Lyon
,1996,Anciens membres,Oui,2025-11-23,69008,Lyon
,1984,Membres actifs,Oui,2025-11-23,69008,Lyon
,1991,Membres actifs,Oui,2025-11-23,69008,Lyon
,1976,Anciens membres,Oui,2025-11-23,69008,Lyon
,1979,Anciens membres,Oui,2025-11-23,69008,Lyon
,1993,Anciens membres,Oui,2025-11-23,69008,Lyon
,1993,Anciens membres,Oui,2025-11-23,69008,Lyon
,1983,Anciens membres,Oui,2025-11-25,69008,Lyon
,1987,Anciens membres,Oui,2025-11-28,69008,Lyon
,1962,Anciens membres,Non,2025-11-28,44190,Getigne
,1973,Anciens membres,Oui,2025-11-28,69008,Lyon
,1957,Anciens membres,Oui,2025-11-28,69008,Lyon
,1951,Membres actifs,Oui,2025-11-28,69008,Lyon
,1988,Anciens membres,Oui,2025-11-28,69008,Lyon
,1977,Anciens membres,Oui,2025-11-30,69008,Lyon
,1994,Anciens membres,Oui,2025-12-02,69008,Lyon
,1981,Membres actifs,Oui,2025-12-07,69008,Lyon
,2004,Anciens membres,Oui,2025-12-07,69008,Lyon
,1961,Membres actifs,Oui,2025-12-12,69008,Lyon
,1985,Membres actifs,Oui,2025-12-14,69200,Vénissieux
,1981,Membres actifs,Oui,2025-12-21,69008,Lyon
,2001,Membres actifs,Oui,2026-01-23,69008,Lyon
,1985,Membres actifs,Oui,2026-01-23,69008,Lyon
,2001,Membres actifs,Oui,2026-01-23,69008,Lyon
,1999,Membres actifs,Oui,2026-01-25,69008,Lyon
,2004,Membres actifs,Non,2026-01-25,69008,Lyon
,2005,Membres actifs,Oui,2026-01-25,69008,Lyon
,2004,Membres actifs,Non,2026-01-25,69008,Lyon
,2000,Membres actifs,Oui,2026-01-25,67000,Strasbourg
,2003,Membres actifs,Oui,2026-01-25,69008,Lyon
,1998,Membres actifs,Oui,2026-01-25,69007,Lyon
,1995,Membres actifs,Oui,2026-01-25,69007,Lyon
,1965,Membres actifs,Oui,2026-01-25,69008,Lyon
,1962,Membres actifs,Oui,2026-01-25,69008,Lyon
,1992,Membres actifs,Oui,2026-01-25,69008,Lyon
,1994,Membres actifs,Non,2026-01-25,69008,Lyon
,,Membres actifs,Oui,2026-02-01,69008,Lyon
,,Membres actifs,Oui,2026-02-01,69008,Lyon
,2004,Membres actifs,Oui,2026-01-25,69008,Lyon
,1973,Membres actifs,Oui,2026-01-30,69008,Lyon
,1973,Membres actifs,Oui,2026-01-30,69008,Lyon
,1985,Membres actifs,Oui,2026-01-30,69008,Lyon
,1969,Membres actifs,Oui,2026-02-01,26000,Valence
,1953,Membres actifs,Non,2026-02-01,26000,Valence
,1972,Membres actifs,Oui,2026-02-01,69008,Lyon
,,Membres actifs,Oui,2026-02-01,,
,,Membres actifs,Non,2026-02-01,,
,1978,Membres actifs,Oui,2026-02-06,69008,Lyon
,1959,Membres actifs,Oui,2026-02-06,69100,Villeurbanne
,1978,Membres actifs,Oui,2026-02-06,69008,Lyon
,1990,Membres actifs,Oui,2026-02-08,69008,Lyon
,,Membres actifs,Oui,2026-02-08,69008,Lyon
,1952,Membres actifs,Oui,2026-02-08,69008,Lyon
,1985,Membres actifs,Oui,2026-02-08,69008,Lyon
,1956,Membres actifs,Oui,2026-02-08,69008,Lyon
